1      4.386975000      0.768235000     -1.030560000
8      3.833941000     -0.000156000     -0.843835000
1      4.387371000     -0.768139000     -1.031070000
1      2.352346000      0.000653000      1.732360000
8      1.979495000      0.000226000      0.840994000
1      2.777084000     -0.000472000      0.191413000
1     -1.147233000     -2.426423000      0.077164000
8     -1.208660000     -1.462380000      0.054098000
1     -2.137555000     -1.219720000     -0.159004000
1     -1.146206000      2.426375000      0.077199000
8     -1.208069000      1.462363000      0.053976000
1     -2.137011000      1.220185000     -0.159369000
1     -4.200445000      0.000449000      0.152734000
8     -3.448804000      0.000211000     -0.457630000
1     -3.864397000      0.000100000     -1.332110000
80     0.095488000     -0.000280000      0.358368000
